InterventionName,type,SchoolCloseDate,SchoolCloseReductionPer,SchoolOpenDate,SchoolOpenReductionAmt,InterventionStartReductionDate,InterventionReductionPerMin,InterventionReductionPerMax,InterventionReductionPerLowMin,InterventionReductionPerLowMax,InterventionStartReductionDateCalcDays,InterventionStartEndLift,InterventionStartEndLiftCalcDays,InterventionEndPerIncrease,InterventionMobilityEffect,QuarantineType,PerFollowQuarantine,QuarantineStartDate,TestingAvailabilityDateHosp,TestingAvailabilityDateComm,finaldate,ContactTracing,testExtra,TimeToFindContactsLow,TimeToFindContactsHigh,UseCountyLevel,CountyEncountersFile,AdjustPopDensity,TestIncreaseLow,TestIncreaseHigh,Seasonality,OldAgeRestriction,OldAgeReduction
distance.Distance50SlowSchoolQuarantine90,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,12/31/2020,0.5,0.75,household,0.9,7/1/2020,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,1,0.75
distance.Distance40SlowSchoolQuarantine90,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,12/31/2020,0.4,0.75,household,0.9,7/1/2020,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,1,0.75
distance.Distance30SlowSchoolQuarantine90,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,12/31/2020,0.3,0.75,household,0.9,7/1/2020,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,1,0.75
distance.Distance20SlowSchoolQuarantine90,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,12/31/2020,0.2,0.75,household,0.9,7/1/2020,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,1,0.75
distance.Distance10SlowSchoolQuarantine90,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,12/31/2020,0.1,0.75,household,0.9,7/1/2020,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,1,0.75
distance.Distance05SlowSchoolQuarantine90,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,12/31/2020,0.05,0.75,household,0.9,7/1/2020,3/6/2020,4/1/2020,4/30/2021,0,0,,,0,,1,0.1,0.5,0,1,0.75
distance.Distance50SlowSchoolQuarantine90CTF,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,12/31/2020,0.5,0.75,household,0.9,7/1/2020,3/6/2020,4/1/2020,4/30/2021,1,0,12,24,0,,1,0.1,0.5,0,1,0.75
distance.Distance40SlowSchoolQuarantine90CTF,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,12/31/2020,0.4,0.75,household,0.9,7/1/2020,3/6/2020,4/1/2020,4/30/2021,1,0,12,24,0,,1,0.1,0.5,0,1,0.75
distance.Distance30SlowSchoolQuarantine90CTF,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,12/31/2020,0.3,0.75,household,0.9,7/1/2020,3/6/2020,4/1/2020,4/30/2021,1,0,12,24,0,,1,0.1,0.5,0,1,0.75
distance.Distance20SlowSchoolQuarantine90CTF,distance,3/13/2020,0.25,9/8/2020,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,6/27/2020,12/31/2020,0.2,0.75,household,0.9,7/1/2020,3/6/2020,4/1/2020,4/30/2021,1,0,12,24,0,,1,0.1,0.5,0,1,0.75
